account,played,winnings,winnings_even_money,average_bet_size
0x4d8d0542e4c1506af65c7f5f96a97029800bec4d,1084,7.09397508054143,118.2158055998664,0.06886900369003719
0xe8c584efbd75404d2de8e3f167e6cfff0be156c7,1417,44.04129351736217,82.84157352342,0.3997881580804516
0x03d25c14ad0cd6c2fcf11dc7f3eac0473ae33e8c,837,5.7519336131078385,79.45074915121435,0.08428124755077633
0x0581e081d85902ee830ae9a21ae5e8841bc0fcc8,639,10.138423640557402,66.59321298954069,0.1831455399061008
0x05e558cc68d27119f38db58967e398e6ef199808,1342,3.420151337966654,64.68997096221102,0.04065053651266762
0x01286821324ea29bfe87f08ba3249fca2716ce88,489,8.260677445543035,64.37618470158887,0.13791411042944784
0x982790b5312349a5ef6ce2f14da12514b7d6c51a,383,3.5294936642611803,57.98796330266997,0.04001512639686685
0x92f87c517bfb8fbfbb40d15faca6a98ee7f2261f,368,3.6594371346624266,56.73411258127409,0.06042744565217391
0x57113e467fbf0eec0fe2b9d9bf0d8dc2d1797f65,375,7.630279840834718,51.426004522476894,0.09539443666666662
0x9f0a50c3936b5595fa436ba97434eb9986ed94ee,288,3.0726602385072295,47.36684518613334,0.04645360999999998
0xeab1449b4b98fdfd03de74a13a1d1d4e6974131b,423,14.82804774881263,46.74725672825306,0.31881184186756695
0x7fe943987984bbaef2384eaab99eb1fd24a9b2ff,752,5.423512302544923,46.00920863034263,0.1176888297872332
0x353082f69fa102257647252d0bf0622106c1b5c9,281,4.848736957025206,39.961516392428024,0.11476868327402097
0x53c236e8e1f031f2a4001df97d6776f1ba6710d7,492,5.4555351126240375,38.55667809658797,0.149542682926828
0xbe00210b167c25558b032aa88f78c06454ea1cba,436,12.958460173652396,36.690589444607724,0.2555172018348625
0xf08c0a1dbf5c6db9e8cbd9a89f9f4ee3987b8bce,763,37.206223819519764,36.378856799653626,0.6228309305373533
0x2bdb960abf9ccac733d020275ae43ec6c71e3cc6,182,0.5574889220216779,35.59819561685584,0.04011923076923072
