account,played,winnings,winnings even money,average bet size
0x4d9cdc2992019698cd96a5dd67cd00519223ec1e,56,52.020290463373165,15.079865053470023,3.0
0xad73edcf2fd9d55a845c8686791e16feb15c74cf,88,33.76669221473797,13.488342271580247,2.215909090909091
0x98c86f95e7a002826f91686deb30b4c23c20c91a,141,30.94935803883215,24.468463604869243,1.5016367369896941
0xe46c0d6bcb24a25800c027e57af6553c6318095d,449,29.914682860828286,12.030014711104553,0.6841202672605782
0xae6a8fdd11c5114d2fbfcbf4fc3d075ffd997b93,121,21.759756629288205,7.391671672680235,1.9507438016528924
0x9975d336e2f5fa0c00e96bbbde22d6bdc436a546,861,16.330918417815838,3.779360877322766,0.5867133599644712
0x51d938dc7f01f6fe3c4f2ac662660fdcb6fb5fce,586,15.6088570913091,33.68386485185001,0.39449885855465994
0x4fb473c8d74b1f77a3ad9f6aa6ea47daaf706d4e,20,13.243063517000095,4.519566168171929,2.478
0x4ac50d1d0b442d64284acbbf602f44c16cd94cc8,249,12.758751010244007,30.53669534565362,0.5309477911646584
0x06a8e36b992c171b1bd3ca896c538c54eb6dcfa4,128,11.47540216659079,6.708215738059869,1.4526128375120133
0x3a0fb375b2966fdb4042da7aa8c1246b5044e0dd,591,10.63848760561343,8.694374678507698,0.46365111710192225
0x7fcb9862471400aabb6520a5f90a00011dcd58f7,99,9.186155611051518,13.75942756245673,0.5850446430464896
0x021a0940fa2583ca87dc036719a1865b3b4bd00a,423,9.171198393584072,40.88353105150903,0.2465731128034123
0x4bb0cc2a33fa369a45328eef00783b0676020eae,23,8.615846184751842,3.8981016397760655,2.252173913043478
0xcf7337dbf4ffde68c72ad83236aa65984065f687,626,8.123807678999569,42.43769990319646,0.13779552715654983
0xadc4ad81252967f5418deb8a34f6f81bdfc1aaaa,39,7.750792210320268,12.469885068249127,0.4934151988393957
0x4835e82a3c6f6962b432482f95933e74be878d92,24,7.459560694150955,10.084130509410144,0.8095045046840981
0x7455e1b8b6849701e72f7b86bf4dd75480334389,42,7.449561576026594,5.361386804905031,0.8897870193557141
0x34c99891b8e1f103c13c3ca89414f32cc3fbfe32,31,7.315676593240134,6.60066328509455,0.6380645161290324
0xd5d598aeafed51807d2d7647d6f8870812b44e4d,90,6.708337442534857,15.185637307896867,0.6252934930285148
0x545f7ca01e759a166ddf56b148f3e23551c671cc,54,6.659996871083394,3.5786840201309706,1.0474074074074073
0x5337d90458f679a0a67fd1fd8dccc1b50c74e2b3,118,6.572584104157641,9.323716607420923,0.8785964306535373
0x0cbaab026e0674ed9a396789fa9e0ebdb7d6ff3f,266,6.557019966290911,5.381990379416511,0.8735707198677312
0x457f7fedb356118dec0914d358c3db29a8ccc0d1,92,6.335800042256592,6.69888926172862,0.4723905088204291
0xc0af709eefe423ce52d22463fa1934f68f8f3c59,282,6.299522623677403,42.73409856133796,0.12680383468029569
0xfcf58e5d4e2debf15ef1627e91dd8e366e733cdc,89,6.000869484202807,5.40077667265228,0.29640449438202204
0x4d64161b332580684221e0af42993ce18b8cd780,12,5.940951339482128,5.954887298333257,1.1831778902625
0xc87fba79bdd700bd24335bbdfc1b7ae5f82ef508,72,5.917561830785055,7.900959249208698,0.728010211341126
0x8bee3562739d974d3a01efcf0fd86a2a909b0e16,43,5.513802324664337,1.9625367817695238,0.5888372093023257
0xb9f51a32cfe4c1425db44c56377c531f8f4cb6b4,5,5.354495722708188,2.2492042528407348,0.8467067177573446
0x49a715172767818b639ea4df3f6dd352340be4bd,100,5.253657771514419,13.647211681657232,0.5980999999999999
0x4fbe1e0d7b6f22476a0c4b41398d8f10d710b6ff,497,5.224088358516447,43.48267126344398,0.26203275912110374
0xd5ee512c2059f4eaef6dc15a1ff572cb6617c8f4,23,5.139760140911031,2.9262120374908536,1.6008695652173912
