account,played,winnings,winnings even money,average bet size
0xf3f9f21f12b5b3cbe469c3d11798d29d15f73777,20,-5.299519824685815,-6.924539040717603,0.4335000000000001
0x5fe23a1ea0921b5f6817e3e6c484b2208ab0a319,195,-5.297407037493187,-10.594814074986374,0.5
0xe9fb017593a1e85a4d8019a941945f988b7418cc,631,-5.254756512303428,-2.3356857099514805,0.0586702208175591
0x5d97dc288a1ff4298f5776cae441e2e3d22c3ba6,45,-5.208734020326452,-16.262639746767988,0.4034995956103845
0x3aec84913da8a352dc89eb686ada9e71d8660da7,46,-5.145228481138105,-5.356241808140909,0.4551254454458269
0xaaede87806c0f8a3ed671f104cb927dfb5daf2a9,36,-5.1303785700881415,-5.945693918632973,0.6065442119872118
0x057a02f6b65297e340e542e5f73f83620a8e37e0,496,-5.048155806148752,-9.620841867292187,0.1578319857541404
0x2d29df867d68a53d50b47d323c98ad03a015fb87,46,-4.962225057523606,-7.040640556898839,0.5426197184710866
0x583b983dba82ea637e092bee00f154c34d0c1ae3,2,-4.915218004815193,-2,2.4576090024075965
0x7e9e159a372fd6656b5c575fd4b3dccd073cab9e,3,-4.848878539835522,-1.8015187288928323,3.4197628600472973
0x9c3260e1fe4eb27d6abf124a7a91b5e797726a2e,470,-4.816459639782277,-2.1980448637958414,0.1282805817903833
0x9cb152ecd3d53bd2f5ff62f6b6cd34c299e12722,36,-4.683530761691936,-4.196540965386669,0.6589399507708618
0x9a2c0d56b79fb2b5ff9077374fbf89fb14187ce0,295,-4.6783738116499975,-21.603052270849425,0.20665488872664023
0x5ed2fd8348b771c0b26746182bc5795a6622711d,438,-4.667983744265078,-25.542104286597525,0.4834863013698633
0x9af129a6f00748c7f75da1998787b7adcc518672,118,-4.55559623823586,-25.761914689234683,0.12181958675286816
0x313b7f122cdaad0ced3890236f01c8b81c984da1,2,-4.541977083136583,-2,2.2709885415682916
0x263bc5b347590ed0dec142bb8ae1d827f895d97c,51,-4.522795444905464,-12.281330888418504,0.2862990036834451
0x4925645aa7732e7e0d3040f0bf5612a2dc1b7e24,138,-4.452504804195863,-12.003688025352403,0.3654969444203885
0xa342dbeda4e435c4e7a29ba8cc37c337b170b001,54,-4.370067118482878,-12.027921904302207,0.3199859240498987
0x9377cccd74613f0a05ac8f8634118c74448b169e,120,-4.362560906834294,-11.793667132531146,0.14521046584790315
0xe10a717aff91f6a3bfba7e34a4a107320f829ff5,349,-4.356311201063167,-22.810604577192514,0.1674042820699295
0x2a0fdcce1edcde82f8f36d609b8420cb48b3a1ff,10,-4.344945158441098,-3.3240343380933997,1.235
0x650018f27b62b611ced555d0964dc0677a0714d0,47,-4.331831216590183,-6.37671776475643,0.4384612449697579
0xd8128c2d48b642abc97569d96ba40e662ee58b7b,268,-4.3151109396059635,2.9430552972938715,0.33467593884693014
0xd271aa6872aba3be9dfe278cff07e9a7965f16f4,179,-4.3113773992511835,18.929198233772063,0.46843233360424313
0xaa17ade8d2fabbf0e67fff54adefb31e411748f0,243,-4.278245679931532,5.974532431994229,0.5105322349150823
0x5a8f627d6aaa81dd96c14e3aa5cba789ce00206d,49,-4.160928667117041,-9.72655082511019,0.3499127217858126
0x7fe5ca68b78402862709af1c359e57b8ae09516d,207,-4.149787741216874,-17.37958067461163,0.26498431496416197
0x038a7bbe2b752567ec71332d6579c9d417c05f49,500,-4.141413250735895,-3.499009772177362,0.22296720356020025
0xb99c14d745201aa34bb67475ec33e938d709f8ce,364,-4.097208159248964,-19.63165401611099,0.11406383561768565
0x81dd69626eb3f4c9ab25a7a529dbc2010dcace43,46,-4.059878197977076,-9.825930123104815,0.3249999999999999
0x629a83f22c8e089509c2485dec5bd27b3e691675,37,-4.049417300106519,-4.3124223140985,0.9594594594594594
0x71cb7b2521117cce89542d31259f6f47f09d79eb,3,-4,-3,1.3333333333333333
0xd70266d4c3caedb0b2d6ae6cc232662ce8759011,53,-3.9559238020143166,-6.939490229301697,0.39770605009685805
