epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
18988,9661076,9661176,9661276,33990223433,33920292284,10150966422027931805,4755292767327231679,5395673654700700126,5395673654700700126,9846437429367093850,True
18989,9661180,9661280,9661380,33920292284,33916000000,8451302681753152767,4446124712524323983,4005177969228828784,4005177969228828784,8197763601300558183,True
18990,9661284,9661384,9661484,33916000000,34031482310,10326964874315015730,7796085231314549524,2530879643000466206,7796085231314549524,10017155928085565258,True
18991,9661389,9661489,9661589,34031482310,34019030455,15997820917885561867,11232942372288168268,4764878545597393599,4764878545597393599,15517886290348995010,True
18992,9661494,9661594,9661694,34019030455,34127557904,14090661185108703161,12218341498561656186,1872319686547046975,12218341498561656186,13667941349555442066,True
18993,9661598,9661698,9661798,34127557904,34134583063,12014017849101607926,4900242259418090068,7113775589683517858,4900242259418090068,11653597313628559688,True
18994,9661701,9661801,9661901,34134583063,34102198218,6633223894483065963,2026837018442756343,4606386876040309620,4606386876040309620,6434227177648573984,True
18995,9661804,9661904,9662004,34102198218,34049626493,15160968837570246774,5380048591490626515,9780920246079620259,9780920246079620259,14706139772443139370,True
18996,9661906,9662006,9662106,34049626493,34031000000,10049015217834263567,5431194252387116085,4617820965447147482,4617820965447147482,9747544761299235659,True
18997,9662010,9662110,9662210,34031000000,33867979208,21773645576401539150,5223758479961011236,16549887096440527914,16549887096440527914,21120436209109492975,True
18998,9662114,9662214,9662314,33867979208,33898513149,14060440408014311342,8074767861747302510,5985672546267008832,8074767861747302510,13638627195773882001,True
18999,9662219,9662319,9662419,33898513149,33831383442,12348434059764777248,5745019569773707688,6603414489991069560,6603414489991069560,11977981037971833930,True
19000,9662322,9662422,9662522,33831383442,33711808179,21009414062029226056,3768759801728523803,17240654260300702253,17240654260300702253,20379131640168349274,True
19001,9662426,9662526,9662626,33711808179,33618768221,10815715312052027877,4618221568667686319,6197493743384341558,6197493743384341558,10491243852690467040,True
19002,9662533,9662633,9662733,33618768221,33399832826,35380190103928192709,3557663147197372505,31822526956730820204,31822526956730820204,34318784400810346927,True
19003,9662639,9662739,9662839,33399832826,33362184120,23046096679274989302,4875492541722622725,18170604137552366577,18170604137552366577,22354713778896739622,True
19004,9662742,9662842,9662942,33362184120,33320440897,17327065230187036264,11191445175995549825,6135620054191486439,6135620054191486439,16807253273281425176,True
19005,9662845,9662945,9663045,33320440897,33404000000,30254249256726321514,25264989295911197998,4989259960815123516,25264989295911197998,29346621779024531868,True
19006,9662949,9663049,9663149,33404000000,33461557671,21265432167431073471,13079956933499446181,8185475233931627290,13079956933499446181,20627469202408141266,True
19007,9663052,9663152,9663252,33461557671,33705351208,34242717584288895236,29251737841277182673,4990979743011712563,29251737841277182673,33215436056760228378,True
19008,9663155,9663255,9663355,33705351208,33768928014,25035083928798045587,14580147714357598938,10454936214440446649,14580147714357598938,24284031410934104219,True
19009,9663258,9663358,9663458,33768928014,33832268009,16404229489750306087,6073855662713990216,10330373827036315871,6073855662713990216,15912102605057796904,True
19010,9663362,9663462,9663562,33832268009,33820522519,21945324140745093198,20051699787206445533,1893624353538647665,1893624353538647665,21286964416522740402,True
19011,9663467,9663567,9663667,33820522519,33786505730,15904722171916434062,2796385236998046400,13108336934918387662,13108336934918387662,15427580506758941040,True
19012,9663570,9663670,9663770,33786505730,33675895124,17851018977911296083,3531709295047298753,14319309682863997330,14319309682863997330,17315488408573957200,True
