epoch,genesis,completed,cancelled,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,treasuryAmount,bullBonusAmount,bearBonusAmount,lockPrice,closePrice,startTimestamp,lockTimestamp,closeTimestamp
28357,False,True,False,4860000000000000000,5167500000000000000,4860000000000000000,10013100000000000000,14400000000000000,0,0,37101100000,37131500000,1646948594,1646948894,1646949194
28358,False,True,False,6660000000000000000,6554800000000000000,6554800000000000000,13209100000000000000,5700000000000000,0,0,37131500000,37048800000,1646948903,1646949203,1646949503
28359,False,True,False,5000000000000000000,4760000000000000000,4760000000000000000,9743200000000000000,16800000000000000,0,0,37048800000,36884000000,1646949212,1646949512,1646949812
28360,False,True,False,6980000000000000000,6970000000000000000,6980000000000000000,13948500000000000000,1500000000000000,0,0,36884000000,36981500000,1646949524,1646949824,1646950124
28361,False,True,False,6990000000000000000,7249300000000000000,6990000000000000000,14230000000000000000,9300000000000000,0,0,36981500000,37021300000,1646949837,1646950137,1646950437
28362,False,True,False,5860000000000000000,5875000000000000000,5860000000000000000,11734550000000000000,450000000000000,0,0,37021300000,37107000000,1646950146,1646950446,1646950746
28363,False,True,False,6050000000000000000,5877700000000000000,5877700000000000000,11917800000000000000,9900000000000000,0,0,37107000000,37077500000,1646950458,1646950758,1646951058
28364,False,True,False,6530000000000000000,6634145100000000000,6634145100000000000,13161020747000000000,3124353000000000,0,0,37077500000,37072800000,1646950770,1646951070,1646951370
28365,False,True,False,5760000000000000000,5790000000000000000,5760000000000000000,11547900000000000000,2100000000000000,0,0,37072800000,37129200000,1646951082,1646951382,1646951682
28366,False,True,False,5490000000000000000,5490000000000000000,5490000000000000000,10980000000000000000,0,0,0,37129200000,37188900000,1646951394,1646951694,1646951994
28367,False,True,False,4570000000000000000,4625000000000000000,4570000000000000000,9193350000000000000,1650000000000000,0,0,37188900000,37189900000,1646951703,1646952003,1646952303
28368,False,True,False,5420000000000000000,5375000000000000000,5420000000000000000,10792750000000000000,2250000000000000,0,0,37189900000,37195500000,1646952015,1646952315,1646952615
28369,False,True,False,6450000000000000000,6519400000000000000,6450000000000000000,12968650000000000000,750000000000000,0,0,37195500000,37220700000,1646952324,1646952624,1646952924
28370,False,True,False,4660000000000000000,4613400000000000000,4660000000000000000,9273400000000000000,0,0,0,37220700000,37245600000,1646952638,1646952938,1646953238
28371,False,True,False,5830000000000000000,5820000000000000000,5830000000000000000,11649700000000000000,300000000000000,0,0,37245600000,37270800000,1646952948,1646953248,1646953548
28372,False,True,False,6390000000000000000,6410000000000000000,6390000000000000000,12796400000000000000,3600000000000000,0,0,37270800000,37293300000,1646953260,1646953560,1646953860
28373,False,True,False,4850000000000000000,4865000000000000000,4865000000000000000,9713950000000000000,1050000000000000,0,0,37293300000,37292500000,1646953569,1646953869,1646954169
28374,False,True,False,5995000000000000000,5931200000000000000,5931200000000000000,11925420000000000000,780000000000000,0,0,37292500000,37242600000,1646953881,1646954181,1646954481
